pID,condition,task,interaction,trial,attempt,dataset,category,videos,selectedVideos,correctVideos,difference1,difference2,loadTime,elapsedTime,totalCorrect,falseNegatives,falsePositives,incompleteTrial
47,6,3,overlays,2,2,baseball,rogers_centre,jordan_romano;drew_rasmussen;erik_swanson;kevin_gausman;marcus_stroman;tanner_bibee;trevor_richards;dakota_hudson;yimi_garcia;,marcus_stroman;tanner_bibee;,trevor_richards;dakota_hudson;,0.09587429269621756,0.09022483028523802,32508,14852,0,2,2,false
47,6,3,overlays,2,3,baseball,rogers_centre,jordan_romano;drew_rasmussen;erik_swanson;kevin_gausman;marcus_stroman;tanner_bibee;trevor_richards;dakota_hudson;yimi_garcia;,yimi_garcia;dakota_hudson;,trevor_richards;dakota_hudson;,0.05377824839096196,0.010499999999999954,32508,17695,1,1,1,false
47,6,3,overlays,2,4,baseball,rogers_centre,jordan_romano;drew_rasmussen;erik_swanson;kevin_gausman;marcus_stroman;tanner_bibee;trevor_richards;dakota_hudson;yimi_garcia;,dakota_hudson;trevor_richards;,trevor_richards;dakota_hudson;,0.010499999999999954,0.016224980739588012,32508,21623,2,0,0,false
47,6,3,smallMultiples,0,1,baseball,oakland_coliseum,paul_blackburn;joe_boyle;austin_adams;james_kaprielian;luis_medina;domingo_acevedo;adrian_martinez;jason_heyward;austin_pruitt;,austin_adams;joe_boyle;,adrian_martinez;austin_pruitt;,0.19167811560008616,0.09100137361600656,42190,12898,0,2,2,false
47,6,3,smallMultiples,0,2,baseball,oakland_coliseum,paul_blackburn;joe_boyle;austin_adams;james_kaprielian;luis_medina;domingo_acevedo;adrian_martinez;jason_heyward;austin_pruitt;,luis_medina;domingo_acevedo;,adrian_martinez;austin_pruitt;,0.18533852810465506,0.1113404239259039,42190,15629,0,2,2,false
47,6,3,smallMultiples,0,3,baseball,oakland_coliseum,paul_blackburn;joe_boyle;austin_adams;james_kaprielian;luis_medina;domingo_acevedo;adrian_martinez;jason_heyward;austin_pruitt;,austin_pruitt;jason_heyward;,adrian_martinez;austin_pruitt;,0.020350184274349942,0.20259797629788903,42190,18078,1,1,1,false
47,6,3,smallMultiples,0,4,baseball,oakland_coliseum,paul_blackburn;joe_boyle;austin_adams;james_kaprielian;luis_medina;domingo_acevedo;adrian_martinez;jason_heyward;austin_pruitt;,adrian_martinez;james_kaprielian;,adrian_martinez;austin_pruitt;,0.02044137960119129,0.18173651256695778,42190,21895,1,1,1,false
47,6,3,smallMultiples,0,5,baseball,oakland_coliseum,paul_blackburn;joe_boyle;austin_adams;james_kaprielian;luis_medina;domingo_acevedo;adrian_martinez;jason_heyward;austin_pruitt;,adrian_martinez;austin_pruitt;,adrian_martinez;austin_pruitt;,0.02044137960119129,0.020350184274349942,42190,24775,2,0,0,false
47,6,3,smallMultiples,1,1,baseball,wrigley_field,yu_darvish;adrian_sampson;charlie_morton;johan_oviedo;marcus_stroman;adbert_alzolay;daniel_palencia;matt_swarmer;mitch_keller;,charlie_morton;adbert_alzolay;,adbert_alzolay;daniel_palencia;,0.06713106583393413,0.011067971810589284,33377,10645,1,1,1,false
47,6,3,smallMultiples,1,2,baseball,wrigley_field,yu_darvish;adrian_sampson;charlie_morton;johan_oviedo;marcus_stroman;adbert_alzolay;daniel_palencia;matt_swarmer;mitch_keller;,marcus_stroman;johan_oviedo;,adbert_alzolay;daniel_palencia;,0.07276434566461791,0.05714000350017487,33377,13940,0,2,2,false
47,6,3,smallMultiples,1,3,baseball,wrigley_field,yu_darvish;adrian_sampson;charlie_morton;johan_oviedo;marcus_stroman;adbert_alzolay;daniel_palencia;matt_swarmer;mitch_keller;,daniel_palencia;matt_swarmer;,adbert_alzolay;daniel_palencia;,0.01309083648969768,0.06592419889539801,33377,18949,1,1,1,false
