"","pID","condition","trial","interaction","attempt","elapsedTime","selectedVideos","videos"
"101",15,2,2,"smallMultiples",4,53360,"scatterplot-47;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
"102",15,2,2,"smallMultiples",5,58926,"scatterplot-38;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
"103",15,2,2,"smallMultiples",6,64161,"scatterplot-39;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
"104",15,2,2,"smallMultiples",7,78829,"scatterplot-39;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
"105",15,2,2,"smallMultiples",8,84223,"scatterplot-38;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
"106",15,2,2,"smallMultiples",9,89149,"scatterplot-47;","scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;"
"107",16,1,1,"overlays",1,20700,"scatterplot-47;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"108",16,1,1,"overlays",2,44932,"scatterplot-89;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"109",16,1,1,"overlays",3,61682,"scatterplot-64;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"110",16,1,1,"overlays",4,80387,"scatterplot-89;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"111",16,1,1,"overlays",5,89201,"scatterplot-25;","scatterplot-25;scatterplot-61;scatterplot-58;scatterplot-5;scatterplot-89;scatterplot-47;scatterplot-64;scatterplot-26;scatterplot-10;"
"112",16,1,1,"shadowMarkers",1,51197,"scatterplot-68;","scatterplot-56;scatterplot-39;scatterplot-58;scatterplot-68;scatterplot-4;scatterplot-51;scatterplot-27;scatterplot-54;scatterplot-95;"
"113",16,1,1,"shadowMarkers",2,89509,"scatterplot-27;","scatterplot-56;scatterplot-39;scatterplot-58;scatterplot-68;scatterplot-4;scatterplot-51;scatterplot-27;scatterplot-54;scatterplot-95;"
"114",16,1,1,"smallMultiples",1,52298,"scatterplot-27;","scatterplot-79;scatterplot-77;scatterplot-27;scatterplot-47;scatterplot-98;scatterplot-39;scatterplot-4;scatterplot-57;scatterplot-33;"
"115",16,1,1,"smallMultiples",2,62945,"scatterplot-39;","scatterplot-79;scatterplot-77;scatterplot-27;scatterplot-47;scatterplot-98;scatterplot-39;scatterplot-4;scatterplot-57;scatterplot-33;"
"116",16,1,1,"smallMultiples",3,70445,"scatterplot-98;","scatterplot-79;scatterplot-77;scatterplot-27;scatterplot-47;scatterplot-98;scatterplot-39;scatterplot-4;scatterplot-57;scatterplot-33;"
"117",16,1,2,"overlays",1,24280,"scatterplot-77;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"118",16,1,2,"overlays",2,34041,"scatterplot-83;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"119",16,1,2,"overlays",3,39963,"scatterplot-38;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"120",16,1,2,"overlays",4,65533,"scatterplot-40;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"121",16,1,2,"overlays",5,72301,"scatterplot-94;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"122",16,1,2,"overlays",6,77796,"scatterplot-79;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"123",16,1,2,"overlays",7,89510,"scatterplot-80;","scatterplot-35;scatterplot-77;scatterplot-40;scatterplot-38;scatterplot-83;scatterplot-79;scatterplot-60;scatterplot-80;scatterplot-94;"
"124",16,1,2,"shadowMarkers",1,22121,"scatterplot-56;","scatterplot-56;scatterplot-26;scatterplot-95;scatterplot-68;scatterplot-58;scatterplot-4;scatterplot-61;scatterplot-41;scatterplot-59;"
"125",16,1,2,"shadowMarkers",2,32000,"scatterplot-61;","scatterplot-56;scatterplot-26;scatterplot-95;scatterplot-68;scatterplot-58;scatterplot-4;scatterplot-61;scatterplot-41;scatterplot-59;"
"126",16,1,2,"shadowMarkers",3,46991,"scatterplot-68;","scatterplot-56;scatterplot-26;scatterplot-95;scatterplot-68;scatterplot-58;scatterplot-4;scatterplot-61;scatterplot-41;scatterplot-59;"
"127",16,1,2,"shadowMarkers",4,56712,"scatterplot-59;","scatterplot-56;scatterplot-26;scatterplot-95;scatterplot-68;scatterplot-58;scatterplot-4;scatterplot-61;scatterplot-41;scatterplot-59;"
"128",16,1,2,"smallMultiples",1,21426,"scatterplot-32;","scatterplot-1;scatterplot-32;scatterplot-35;scatterplot-72;scatterplot-78;scatterplot-10;scatterplot-18;scatterplot-30;scatterplot-40;"
