pID,condition,interaction,trial,attempt,selectedVideos,videos,correctVideos,difference1
18,3,smallMultiples,1,7,scatterplot-12;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,19.660539999999997
18,3,smallMultiples,1,8,scatterplot-40;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,16.623649999999998
18,3,smallMultiples,1,9,scatterplot-60;,"['scatterplot-30', 'scatterplot-61', 'scatterplot-20', 'scatterplot-86', 'scatterplot-64', 'scatterplot-28', 'scatterplot-60', 'scatterplot-40', 'scatterplot-12']",scatterplot-86,6.842500000000001
18,3,smallMultiples,2,1,scatterplot-60;,"['scatterplot-81', 'scatterplot-57', 'scatterplot-88', 'scatterplot-40', 'scatterplot-12', 'scatterplot-60', 'scatterplot-1', 'scatterplot-3', 'scatterplot-79']",scatterplot-3,10.336219999999997
18,3,smallMultiples,2,2,scatterplot-57;,"['scatterplot-81', 'scatterplot-57', 'scatterplot-88', 'scatterplot-40', 'scatterplot-12', 'scatterplot-60', 'scatterplot-1', 'scatterplot-3', 'scatterplot-79']",scatterplot-3,7.4581699999999955
18,3,smallMultiples,2,3,scatterplot-40;,"['scatterplot-81', 'scatterplot-57', 'scatterplot-88', 'scatterplot-40', 'scatterplot-12', 'scatterplot-60', 'scatterplot-1', 'scatterplot-3', 'scatterplot-79']",scatterplot-3,20.117369999999994
18,3,smallMultiples,2,4,scatterplot-3;,"['scatterplot-81', 'scatterplot-57', 'scatterplot-88', 'scatterplot-40', 'scatterplot-12', 'scatterplot-60', 'scatterplot-1', 'scatterplot-3', 'scatterplot-79']",scatterplot-3,0
21,6,overlays,0,1,scatterplot-0;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-5', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-9']",scatterplot-5,3.715360000000004
21,6,overlays,0,2,scatterplot-0;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-5', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-9']",scatterplot-5,3.715360000000004
21,6,overlays,0,3,scatterplot-2;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-5', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-9']",scatterplot-5,0.05371
21,6,overlays,0,4,scatterplot-9;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-5', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-9']",scatterplot-5,4.205770000000001
21,6,overlays,0,5,scatterplot-2;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-5', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-9']",scatterplot-5,0.05371
21,6,overlays,1,1,scatterplot-97;,"['scatterplot-41', 'scatterplot-22', 'scatterplot-56', 'scatterplot-97', 'scatterplot-81', 'scatterplot-33', 'scatterplot-88', 'scatterplot-38', 'scatterplot-94']",scatterplot-97,0
21,6,overlays,2,1,scatterplot-44;,"['scatterplot-30', 'scatterplot-44', 'scatterplot-24', 'scatterplot-94', 'scatterplot-95', 'scatterplot-47', 'scatterplot-68', 'scatterplot-76', 'scatterplot-41']",scatterplot-76,6.473880000000008
21,6,overlays,2,2,scatterplot-76;,"['scatterplot-30', 'scatterplot-44', 'scatterplot-24', 'scatterplot-94', 'scatterplot-95', 'scatterplot-47', 'scatterplot-68', 'scatterplot-76', 'scatterplot-41']",scatterplot-76,0
21,6,shadowMarkers,0,1,scatterplot-2;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-5', 'scatterplot-9']",scatterplot-5,0.05371
21,6,shadowMarkers,0,2,scatterplot-2;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-5', 'scatterplot-9']",scatterplot-5,0.05371
21,6,shadowMarkers,1,1,scatterplot-59;,"['scatterplot-87', 'scatterplot-94', 'scatterplot-21', 'scatterplot-85', 'scatterplot-59', 'scatterplot-58', 'scatterplot-69', 'scatterplot-1', 'scatterplot-24']",scatterplot-59,0
21,6,shadowMarkers,2,1,scatterplot-13;,"['scatterplot-61', 'scatterplot-47', 'scatterplot-64', 'scatterplot-69', 'scatterplot-29', 'scatterplot-88', 'scatterplot-13', 'scatterplot-78', 'scatterplot-23']",scatterplot-13,0
21,6,smallMultiples,0,1,scatterplot-5;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-2', 'scatterplot-4', 'scatterplot-5', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-9']",scatterplot-5,0
21,6,smallMultiples,1,1,scatterplot-65;,"['scatterplot-4', 'scatterplot-61', 'scatterplot-12', 'scatterplot-94', 'scatterplot-95', 'scatterplot-16', 'scatterplot-65', 'scatterplot-44', 'scatterplot-64']",scatterplot-16,9.566119999999984
21,6,smallMultiples,1,2,scatterplot-12;,"['scatterplot-4', 'scatterplot-61', 'scatterplot-12', 'scatterplot-94', 'scatterplot-95', 'scatterplot-16', 'scatterplot-65', 'scatterplot-44', 'scatterplot-64']",scatterplot-16,22.983659999999986
21,6,smallMultiples,1,3,scatterplot-16;,"['scatterplot-4', 'scatterplot-61', 'scatterplot-12', 'scatterplot-94', 'scatterplot-95', 'scatterplot-16', 'scatterplot-65', 'scatterplot-44', 'scatterplot-64']",scatterplot-16,0
21,6,smallMultiples,2,1,scatterplot-82;,"['scatterplot-78', 'scatterplot-81', 'scatterplot-82', 'scatterplot-35', 'scatterplot-58', 'scatterplot-25', 'scatterplot-61', 'scatterplot-68', 'scatterplot-46']",scatterplot-46,10.73821000000001
21,6,smallMultiples,2,2,scatterplot-25;,"['scatterplot-78', 'scatterplot-81', 'scatterplot-82', 'scatterplot-35', 'scatterplot-58', 'scatterplot-25', 'scatterplot-61', 'scatterplot-68', 'scatterplot-46']",scatterplot-46,13.551150000000007
21,6,smallMultiples,2,3,scatterplot-46;,"['scatterplot-78', 'scatterplot-81', 'scatterplot-82', 'scatterplot-35', 'scatterplot-58', 'scatterplot-25', 'scatterplot-61', 'scatterplot-68', 'scatterplot-46']",scatterplot-46,0
27,5,overlays,0,1,scatterplot-5;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-5', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-9']",scatterplot-5,0
27,5,overlays,1,1,scatterplot-5;,"['scatterplot-87', 'scatterplot-26', 'scatterplot-10', 'scatterplot-95', 'scatterplot-33', 'scatterplot-5', 'scatterplot-29', 'scatterplot-72', 'scatterplot-39']",scatterplot-5,0
27,5,overlays,2,1,scatterplot-70;,"['scatterplot-26', 'scatterplot-12', 'scatterplot-30', 'scatterplot-88', 'scatterplot-78', 'scatterplot-10', 'scatterplot-65', 'scatterplot-35', 'scatterplot-70']",scatterplot-70,0
27,5,shadowMarkers,0,1,scatterplot-5;,"['scatterplot-0', 'scatterplot-1', 'scatterplot-2', 'scatterplot-4', 'scatterplot-6', 'scatterplot-7', 'scatterplot-8', 'scatterplot-5', 'scatterplot-9']",scatterplot-5,0
27,5,shadowMarkers,1,1,scatterplot-45;,"['scatterplot-87', 'scatterplot-95', 'scatterplot-81', 'scatterplot-17', 'scatterplot-45', 'scatterplot-44', 'scatterplot-69', 'scatterplot-19', 'scatterplot-1']",scatterplot-45,0
