"","pID","condition","interaction","trial","attempt","selectedVideos","videos"
"119",29,4,"shadowMarkers",0,1,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"120",29,4,"shadowMarkers",0,2,"scatterplot-6;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"121",29,4,"shadowMarkers",0,3,"scatterplot-7;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"122",29,4,"shadowMarkers",0,4,"scatterplot-9;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"123",29,4,"shadowMarkers",0,5,"scatterplot-9;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"124",29,4,"shadowMarkers",0,6,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"125",29,4,"shadowMarkers",1,1,"scatterplot-8;","scatterplot-82;scatterplot-68;scatterplot-44;scatterplot-8;scatterplot-78;scatterplot-38;scatterplot-56;scatterplot-4;scatterplot-33;"
"126",29,4,"shadowMarkers",2,1,"scatterplot-13;","scatterplot-47;scatterplot-77;scatterplot-56;scatterplot-27;scatterplot-26;scatterplot-44;scatterplot-48;scatterplot-13;scatterplot-33;"
"127",29,4,"smallMultiples",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"128",29,4,"smallMultiples",1,1,"scatterplot-49;","scatterplot-88;scatterplot-72;scatterplot-64;scatterplot-35;scatterplot-26;scatterplot-49;scatterplot-68;scatterplot-19;scatterplot-17;"
"129",29,4,"smallMultiples",2,1,"scatterplot-24;","scatterplot-58;scatterplot-94;scatterplot-57;scatterplot-23;scatterplot-24;scatterplot-81;scatterplot-6;scatterplot-4;scatterplot-11;"
"130",29,4,"smallMultiples",2,2,"scatterplot-94;","scatterplot-58;scatterplot-94;scatterplot-57;scatterplot-23;scatterplot-24;scatterplot-81;scatterplot-6;scatterplot-4;scatterplot-11;"
"131",29,4,"smallMultiples",2,3,"scatterplot-57;","scatterplot-58;scatterplot-94;scatterplot-57;scatterplot-23;scatterplot-24;scatterplot-81;scatterplot-6;scatterplot-4;scatterplot-11;"
